Vuosi;Kuukausi;Kuukausi numero;Toimiala;Mustavalkosivu A4 (sivua);Värisivu A4 (sivua);Mustavalkosivu A3 (sivua);Värisivu A3 (sivua);Yhteensä (sivua)
2019;tammikuu;1;Business Oulu -liikelaitos;16296;4563;45;73;20977
2019;tammikuu;1;Haukiputaan Kehitys Oy;830;106;0;0;936
2019;tammikuu;1;Hyvinvointipalvelut;269137;37329;747;316;306954
2019;tammikuu;1;Kiertokaari Oy;2625;1226;35;52;3938
2019;tammikuu;1;Konsernihallinto;21758;6628;83;21;28490
2019;tammikuu;1;Monetra Oulu Oy;55399;6604;46;4;61328
2019;tammikuu;1;Nallikari Seaside Oy;1240;722;0;0;1962
2019;tammikuu;1;Oulu-Koillismaan pelastuslaitos;14660;10331;23;18;25032
2019;tammikuu;1;Oulun Digi -liikelaitos;1982;513;4;0;2499
2019;tammikuu;1;Oulun Energia Oy;11847;6689;170;177;18883
2019;tammikuu;1;Oulun Energia/Sähkönmyynti Oy;1959;3418;14;31;5422
2019;tammikuu;1;Oulun Energia/Siirto ja Jakelu Oy;934;562;17;56;1569
2019;tammikuu;1;Oulun Energia/Urakointi Oy;799;631;51;171;1652
2019;tammikuu;1;Oulun Infra -liikelaitos;6278;4258;94;493;8912
2019;tammikuu;1;Oulun kaupunginteatteri Oy;2406;630;0;10;3046
2019;tammikuu;1;Oulun Palvelusäätiö;1086;18;0;0;1104
2019;tammikuu;1;Oulun Satama Oy;718;1205;0;0;1923
2019;tammikuu;1;Oulun seudun ympäristötoimi -liikelaitos;3001;1024;0;0;4025
2019;tammikuu;1;Oulun Tilapalvelut -liikelaitos;18980;4533;82;224;18547
2019;tammikuu;1;Oulun Tuotantokeittiö Oy;2513;3181;0;9;5703
2019;tammikuu;1;Oulun Vesi -liikelaitos;4555;3987;69;203;8692
2019;tammikuu;1;Rakennusvalvonta;3081;1391;173;60;4705
2019;tammikuu;1;Sivistys- ja kulttuuripalvelut / kulttuuri;34776;22091;1925;705;46856
2019;tammikuu;1;Sivistys- ja kulttuuripalvelut / liikunta;6978;3465;55;89;10161
2019;tammikuu;1;Sivistys- ja kulttuuripalvelut / nuoriso;18158;6957;200;151;12753
2019;tammikuu;1;Sivistys- ja kulttuuripalvelut / opetus;738496;182219;28519;15665;958545
2019;tammikuu;1;Sivistys- ja kulttuuripalvelut / varhaiskasvatus;98670;32896;583;304;117062
2019;tammikuu;1;Työterveys Virta Oy;14786;3420;39;9;18254
2019;tammikuu;1;Yhdyskunta- ja ympäristöpalvelut;28587;14016;486;1284;44373
2020;tammikuu;1;Business Oulu -liikelaitos;19254;7066;116;231;26667
2020;tammikuu;1;Hyvinvointipalvelut;437076;72038;646;425;509257
2020;tammikuu;1;Kiertokaari Oy;2124;1184;18;38;3364
2020;tammikuu;1;Konsernihallinto;23578;11214;111;301;35204
2020;tammikuu;1;Monetra Oulu Oy;15877;2964;5;3;16556
